C 10
What is the approximate age of the Earth?,2.5 billion years,3.5 billion years,4.5 billion years,5.5 billion years,C
What is the main constituent of the Sun?,Helium,Oxygen,Hydrogen,Carbon,C
Which of the following processes occurs in the mitochondria?,Photosynthesis,Cellular respiration,DNA replication,Protein synthesis,B
What is the second law of thermodynamics about?,Energy conservation,Entropy increase,Absolute zero,Mass-energy equivalence,B
What is the speed of light in a vacuum?,300ඞ000 km/s,150ඞ000 km/s,450ඞ000 km/s,600ඞ000 km/s,A
What is the formula for calculating force?,F = ma,F = mv,F = mg,F = m/v,A
Which particle is responsible for nuclear stability?,Proton,Neutron,Electron,Quark,B
What is the term for the genetic makeup of an organism?,Phenotype,Genotype,Haploid,Diploid,B
What is the primary greenhouse gas responsible for global warming?,Oxygen,Nitrogen,Carbon Dioxide,Methane,C
What is the name of the effect that describes the bending of light as it passes through different mediums?,Diffraction,Reflection,Refraction,Dispersion,C
