C 10
What is the longest river in the world?,Amazon,Nile,Yangtze,Mekong,A
What element has the atomic number 79?,Gold,Silver,Platinum,Lead,A
Who was the first woman to win a Nobel Prize?,Marie Curie,Rosalind Franklin,Ada Lovelace,Florence Nightingale,A
What is the highest mountain in the world?,K2,Everest,Denali,Kilimanjaro,B
What is the term for animals active at night?,Nocturnal,Diurnal,Crested,Arboreal,A
Who proposed the heliocentric model of the solar system?,Galileo,Newton,Copernicus,Ptolemy,C
What is the chemical formula for table salt?,NaCl,H2O,CO2,KCl,A
What is the largest organ in the human body?,Heart,Lungs,Skin,Liver,C
What year did the Titanic sink?,1908,1912,1916,1920,B
Which scientist is known for the laws of planetary motion?,Kepler,Newton,Galileo,Copernicus,A
